"Step","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MIN","simple_3by3_01_07_03_run_arrival_change_201_011_simple_linear_2025-06-18_13-08-06 - reward__MAX"
"371","49.50599999999993","49.50599999999993","49.50599999999993"
"372","50.23499999999993","50.23499999999993","50.23499999999993"
"373","49.35499999999993","49.35499999999993","49.35499999999993"
"374","48.67299999999993","48.67299999999993","48.67299999999993"
"375","51.099999999999916","51.099999999999916","51.099999999999916"
"376","50.53299999999993","50.53299999999993","50.53299999999993"
"377","50.57499999999994","50.57499999999994","50.57499999999994"
"378","50.658999999999935","50.658999999999935","50.658999999999935"
"379","50.151999999999944","50.151999999999944","50.151999999999944"
"380","49.16099999999994","49.16099999999994","49.16099999999994"
"381","48.82299999999993","48.82299999999993","48.82299999999993"
"382","46.971999999999944","46.971999999999944","46.971999999999944"
"383","45.30999999999995","45.30999999999995","45.30999999999995"
"384","44.95799999999995","44.95799999999995","44.95799999999995"
"385","43.83999999999994","43.83999999999994","43.83999999999994"
"386","46.71799999999994","46.71799999999994","46.71799999999994"
"387","47.799999999999926","47.799999999999926","47.799999999999926"
"388","47.58399999999993","47.58399999999993","47.58399999999993"
"389","48.83799999999993","48.83799999999993","48.83799999999993"
"390","50.417999999999935","50.417999999999935","50.417999999999935"
"391","49.037999999999926","49.037999999999926","49.037999999999926"
"392","50.099999999999945","50.099999999999945","50.099999999999945"
"393","51.27899999999994","51.27899999999994","51.27899999999994"
"394","50.552999999999926","50.552999999999926","50.552999999999926"
"395","48.55099999999993","48.55099999999993","48.55099999999993"
"396","49.07599999999993","49.07599999999993","49.07599999999993"
"397","46.17899999999993","46.17899999999993","46.17899999999993"
"398","44.68099999999993","44.68099999999993","44.68099999999993"
"399","42.73599999999994","42.73599999999994","42.73599999999994"
"400","44.54999999999993","44.54999999999993","44.54999999999993"
"401","44.91999999999994","44.91999999999994","44.91999999999994"
"402","45.85499999999995","45.85499999999995","45.85499999999995"
"403","45.70199999999994","45.70199999999994","45.70199999999994"
"404","45.98599999999995","45.98599999999995","45.98599999999995"
"405","44.20099999999995","44.20099999999995","44.20099999999995"
"406","43.85599999999994","43.85599999999994","43.85599999999994"
"407","43.66999999999994","43.66999999999994","43.66999999999994"
"408","44.48199999999993","44.48199999999993","44.48199999999993"
"409","46.44499999999993","46.44499999999993","46.44499999999993"
"410","46.67899999999993","46.67899999999993","46.67899999999993"
"411","47.17799999999994","47.17799999999994","47.17799999999994"
"412","49.34499999999992","49.34499999999992","49.34499999999992"
"413","49.500999999999934","49.500999999999934","49.500999999999934"
"414","48.84299999999993","48.84299999999993","48.84299999999993"
"415","50.18099999999992","50.18099999999992","50.18099999999992"
"416","49.21799999999993","49.21799999999993","49.21799999999993"
"417","50.38399999999993","50.38399999999993","50.38399999999993"
"418","49.88199999999993","49.88199999999993","49.88199999999993"
"419","50.04999999999991","50.04999999999991","50.04999999999991"
"420","51.71399999999992","51.71399999999992","51.71399999999992"
"421","51.76099999999994","51.76099999999994","51.76099999999994"
"422","50.29199999999992","50.29199999999992","50.29199999999992"
"423","51.84999999999994","51.84999999999994","51.84999999999994"
"424","52.04699999999992","52.04699999999992","52.04699999999992"
"425","53.03399999999992","53.03399999999992","53.03399999999992"
"426","53.33099999999993","53.33099999999993","53.33099999999993"
"427","54.328999999999944","54.328999999999944","54.328999999999944"
"428","54.96499999999994","54.96499999999994","54.96499999999994"
"429","52.620999999999924","52.620999999999924","52.620999999999924"
"430","51.552999999999926","51.552999999999926","51.552999999999926"
"431","51.88199999999993","51.88199999999993","51.88199999999993"
"432","50.52499999999993","50.52499999999993","50.52499999999993"
"433","50.25799999999992","50.25799999999992","50.25799999999992"
"434","50.25799999999994","50.25799999999994","50.25799999999994"
"435","51.49299999999993","51.49299999999993","51.49299999999993"
"436","51.788999999999945","51.788999999999945","51.788999999999945"
"437","52.35399999999994","52.35399999999994","52.35399999999994"
"438","52.85899999999995","52.85899999999995","52.85899999999995"
